,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,Partner,Initiation,Termination,Modifiers
138,Tunnel_FB_2025_10_02_JD_JH_Junie2_18-28-09,917.4,55044,947.4,56844.0,Junie2,man_check_duration,man_check_duration,,,,
139,Tunnel_FB_2025_10_02_JD_JH_Junie2_18-28-09,919.4666666666667,55168,921.4166666666666,55285.0,Junie2,latency,latency,,,,
140,Tunnel_FB_2025_10_07_JD_JH_Anuk2_11-04-04,776.0333333333333,46562,806.0333333333333,48362.0,Anuk2,man_check_duration,man_check_duration,,,,
141,Tunnel_FB_2025_10_07_JD_JH_Anuk2_11-04-04,776.5,46590,799.3666666666667,47962.0,Anuk2,latency,latency,,,,
142,Tunnel_FB_2025_10_10_JH_JD_Billie_14-28-07,863.7158709670774,51823,893.7158433295563,53623.0,Billie,man_check_duration,man_check_duration,,,,
143,Tunnel_FB_2025_10_10_JH_JD_Billie_14-28-07,864.5825368353268,51875,869.3158658080735,52159.0,Billie,latency,latency,,,,
144,Tunnel_FB_2025_10_10_JH_JD_Pepi_11-32-00,911.2991938737489,54678,941.2991673360692,56478.0,Pepi,man_check_duration,man_check_duration,,,,
145,Tunnel_FB_2025_10_10_JH_JD_Pepi_11-32-00,911.7658601276072,54706,921.0325185970795,55262.0,Pepi,latency,latency,,,,
146,Tunnel_FB_2025_10_13_JD_JH_Luna23_14-56-14,836.5491810555628,50193,866.549151686926,51993.0,Luna23,man_check_duration,man_check_duration,,,,
147,Tunnel_FB_2025_10_13_JD_JH_Luna23_14-56-14,839.0825119088779,50345,841.0825099509689,50465.0,Luna23,latency,latency,,,,
148,Tunnel_FB_2025_10_15_JH_JD_Benny7_16-58-00,871.2491823985697,52275,901.2491542458663,54075.0,Benny7,man_check_duration,man_check_duration,,,,
149,Tunnel_FB_2025_10_15_JH_JD_Benny7_16-58-00,871.9158484396207,52315,901.2491542458663,54075.0,Benny7,latency,latency,,,,
150,Tunnel_FB_2025_10_15_JD_JH_Benny9_16-05-46,790.9828147807827,47459,820.9827951133942,49259.0,Benny9,man_check_duration,man_check_duration,,,,
151,Tunnel_FB_2025_10_15_JD_JH_Benny9_16-05-46,792.9494801581428,47577,802.3828073071751,48143.0,Benny9,latency,latency,,,,
152,Tunnel_FB_2025_10_15_JH_JD_Elton_John_17-20-47,613.5,36810,643.5,38610.0,Elton John,man_check_duration,man_check_duration,,,,
153,Tunnel_FB_2025_10_15_JH_JD_Elton_John_17-20-47,613.8,36828,614.9833333333333,36899.0,Elton John,latency,latency,,,,
154,Tunnel_FB_2025_10_10_JH_JD_Lani_15-31-59,713.1828318024884,42791,715.3994969103319,42924.0,Lani,latency,latency,,,,
155,Tunnel_FB_2025_10_10_JH_JD_Lani_15-31-59,732.3828183005013,43943,762.3827972036463,45743.0,Lani,man_check_duration,man_check_duration,,,,
156,Tunnel_FB_2025_10_22_JD_JH_Sammy11_ 0-34-33,564.1659368463058,33850,594.1658980375422,35650.0,Sammy11,man_check_duration,man_check_duration,,,,
157,Tunnel_FB_2025_10_22_JD_JH_Sammy11_ 0-34-33,566.2992674199049,33978,576.9659202879001,34618.0,Sammy11,latency,latency,,,,
158,Tunnel_FB_2025_07_18_JAS_JH_Enzo3_11-58-18,920.1827641178915,55211,950.1827455602164,57011.0,Enzo3,man_check_duration,man_check_duration,,,,
159,Tunnel_FB_2025_07_18_JAS_JH_Enzo3_11-58-18,922.2660961624973,55336,923.2994288566218,55398.0,Enzo3,latency,latency,,,,
160,Tunnel_FB_2025_11_18_JD_JH_Leibnitz_12-32-34,704.7661445324451,42286,734.7661223066115,44086.0,Leibnitz,man_check_duration,man_check_duration,,,,
161,Tunnel_FB_2025_11_18_JD_JH_Leibnitz_12-32-34,705.4828106681613,42329,718.6994675431134,43122.0,Leibnitz,latency,latency,,,,
162,Tunnel_FB_2025_10_22_JH_JD_Aby_11-58-45,913.7828026611089,54827,943.7827852388533,56627.0,Aby,man_check_duration,man_check_duration,,,,
163,Tunnel_FB_2025_10_22_JH_JD_Aby_11-58-45,916.2161345813037,54973,917.4661338553764,55048.0,Aby,latency,latency,,,,
164,Tunnel_FB_2025_10_27_JD_JH_Cindy8_09-56-10,725.4158828110627,43525,755.4158503942888,45325.0,Cindy8,man_check_duration,man_check_duration,,,,
165,Tunnel_FB_2025_10_27_JD_JH_Cindy8_09-56-10,726.0325488113846,43562,728.782545839847,43727.0,Cindy8,latency,latency,,,,
166,Tunnel_FB_2025_11_04_JH_JD_Mio3_11-07-28,1077.05,64623,1107.05,66423.0,Mio3,man_check_duration,man_check_duration,,,,
167,Tunnel_FB_2025_11_04_JH_JD_Mio3_11-07-28,1077.2666666666667,64636,1103.4166666666667,66205.0,Mio3,latency,latency,,,,
168,Tunnel_FB_2025_10_22_JD_JH_Pisco_09-56-52,654.6494827776473,39279,684.6494590754086,41079.0,Pisco,man_check_duration,man_check_duration,,,,
169,Tunnel_FB_2025_10_22_JD_JH_Pisco_09-56-52,655.2661489571013,39316,684.6494590754086,41079.0,Pisco,latency,latency,,,,
170,Tunnel_FB_2025_10_27_JH_JD_Asterix2_12-02-31,984.4,59064,1014.4,60864.0,Asterix2,man_check_duration,man_check_duration,,,,
171,Tunnel_FB_2025_10_27_JH_JD_Asterix2_12-02-31,985.8666666666667,59152,1014.4,60864.0,Asterix2,latency,latency,,,,
172,Tunnel_FB_2025_10_30_JH_JD_Rufus_10-54-17,1486.1658209697032,89170,1516.165803898328,90970.0,Rufus,man_check_duration,man_check_duration,,,,
173,Tunnel_FB_2025_10_30_JH_JD_Rufus_10-54-17,1489.8658188642337,89392,1493.7491499877724,89625.0,Rufus,latency,latency,,,,
